Date,Time,Visitor,G,Home,G,,Att.,LOG,Notes
11/9/25,2:00 PM,Los Angeles Kings,3,Pittsburgh Penguins,2,,18343,2:26,
11/9/25,7:00 PM,Carolina Hurricanes,5,Toronto Maple Leafs,4,,18395,2:38,
11/9/25,10:00 PM,Colorado Avalanche,5,Vancouver Canucks,4,OT,18643,2:33,
11/10/25,8:30 PM,Columbus Blue Jackets,4,Edmonton Oilers,5,OT,18247,2:32,
11/10/25,7:00 PM,New York Islanders,3,New Jersey Devils,2,OT,16514,2:26,
11/10/25,7:00 PM,Nashville Predators,3,New York Rangers,6,,18006,2:31,
11/10/25,10:00 PM,Florida Panthers,3,Vegas Golden Knights,2,,17812,2:26,
11/11/25,7:00 PM,Toronto Maple Leafs,3,Boston Bruins,5,,17850,2:39,
11/11/25,7:00 PM,Washington Capitals,4,Carolina Hurricanes,1,,18299,2:32,
11/11/25,9:30 PM,Anaheim Ducks,1,Colorado Avalanche,4,,18098,2:31,
11/11/25,8:00 PM,San Jose Sharks,2,Minnesota Wild,1,OT,16253,2:26,
11/11/25,7:00 PM,Los Angeles Kings,5,Montreal Canadiens,1,,20962,2:26,
11/11/25,7:00 PM,Dallas Stars,3,Ottawa Senators,2,OT,16542,2:25,
11/11/25,10:00 PM,Columbus Blue Jackets,2,Seattle Kraken,1,SO,17151,2:46,
11/11/25,8:00 PM,Calgary Flames,2,St. Louis Blues,3,,18096,2:31,
11/11/25,10:00 PM,Winnipeg Jets,5,Vancouver Canucks,3,,18725,2:32,
11/12/25,9:30 PM,New Jersey Devils,4,Chicago Blackhawks,3,OT,17268,2:27,
11/12/25,7:30 PM,Edmonton Oilers,2,Philadelphia Flyers,1,OT,18480,2:34,
11/12/25,7:00 PM,New York Rangers,7,Tampa Bay Lightning,3,,19092,2:33,
11/12/25,9:00 PM,Buffalo Sabres,2,Utah Mammoth,5,,12478,2:37,
11/13/25,7:30 PM,Edmonton Oilers,4,Columbus Blue Jackets,5,,18749,2:33,
11/13/25,9:00 PM,San Jose Sharks,0,Calgary Flames,2,,17551,2:18,
11/13/25,9:00 PM,Buffalo Sabres,3,Colorado Avalanche,6,,18101,2:37,
11/13/25,7:00 PM,Anaheim Ducks,3,Detroit Red Wings,6,,19515,2:37,
11/13/25,7:00 PM,Washington Capitals,3,Florida Panthers,6,,19650,2:32,
11/13/25,7:00 PM,Dallas Stars,7,Montreal Canadiens,0,,20962,2:16,
11/13/25,7:00 PM,Boston Bruins,3,Ottawa Senators,5,,16049,2:23,
11/13/25,10:00 PM,Winnipeg Jets,3,Seattle Kraken,5,,17151,2:32,
11/13/25,7:00 PM,Los Angeles Kings,4,Toronto Maple Leafs,3,OT,18305,2:28,
11/13/25,10:00 PM,New York Islanders,4,Vegas Golden Knights,3,OT,17733,2:39,
11/14/25,7:00 PM,Vancouver Canucks,3,Carolina Hurricanes,4,OT,18299,2:37,
11/14/25,2:00 PM,Pittsburgh Penguins,1,Nashville Predators,2,OT,12766,2:29,at (Stockholm SE)
11/14/25,8:00 PM,Philadelphia Flyers,6,St. Louis Blues,5,SO,18096,2:38,
11/14/25,9:00 PM,New York Islanders,3,Utah Mammoth,2,OT,12478,2:41,
11/15/25,7:00 PM,Edmonton Oilers,4,Carolina Hurricanes,3,OT,18299,2:26,
11/15/25,7:00 PM,New York Rangers,2,Columbus Blue Jackets,1,SO,16298,2:48,
11/15/25,10:00 PM,Winnipeg Jets,4,Calgary Flames,3,SO,17494,2:41,
11/15/25,7:00 PM,Toronto Maple Leafs,2,Chicago Blackhawks,3,,20489,2:32,
11/15/25,8:00 PM,Philadelphia Flyers,1,Dallas Stars,5,,18532,2:26,
11/15/25,7:00 PM,Buffalo Sabres,5,Detroit Red Wings,4,OT,19515,2:39,
11/15/25,5:00 PM,Tampa Bay Lightning,3,Florida Panthers,1,,19894,2:38,
11/15/25,6:00 PM,Anaheim Ducks,0,Minnesota Wild,2,,17458,2:29,
11/15/25,7:00 PM,Boston Bruins,3,Montreal Canadiens,2,,20962,2:36,
11/15/25,7:00 PM,Los Angeles Kings,1,Ottawa Senators,0,,17772,2:16,
11/15/25,10:00 PM,San Jose Sharks,1,Seattle Kraken,4,,17151,2:29,
11/15/25,8:00 PM,Vegas Golden Knights,4,St. Louis Blues,1,,18096,2:30,
11/15/25,7:00 PM,New Jersey Devils,3,Washington Capitals,2,SO,18347,2:46,
11/16/25,9:00 PM,New York Islanders,1,Colorado Avalanche,4,,18109,2:37,
11/16/25,6:00 PM,Vegas Golden Knights,2,Minnesota Wild,3,OT,17439,2:37,
11/16/25,7:00 PM,Detroit Red Wings,2,New York Rangers,1,,18006,2:29,
11/16/25,9:00 AM,Nashville Predators,0,Pittsburgh Penguins,4,,12723,2:35,at (Stockholm SE)
11/16/25,5:00 PM,Vancouver Canucks,6,Tampa Bay Lightning,2,,19092,2:37,
11/17/25,10:00 PM,Utah Mammoth,2,Anaheim Ducks,3,OT,15177,2:27,
11/17/25,7:00 PM,Carolina Hurricanes,3,Boston Bruins,1,,17850,2:38,
11/17/25,7:00 PM,Edmonton Oilers,1,Buffalo Sabres,5,,16394,2:32,
